31.209681,121.598102,1.060000
31.209681,121.598102,1.060000
31.209690,121.598107,0.630000
31.209696,121.598120,1.580000
31.209701,121.598139,1.580000
31.209697,121.598162,1.830000
31.209690,121.598170,0.860000
31.209676,121.598170,1.690000
31.209661,121.598159,1.730000
31.209651,121.598144,0.850000
31.209646,121.598135,0.530000
31.209631,121.598123,1.860000
31.209609,121.598121,2.210000
31.209590,121.598120,0.890000
31.209573,121.598123,1.120000
31.209551,121.598128,2.000000
31.209519,121.598136,2.760000
31.209482,121.598146,3.190000
31.209442,121.598161,4.330000
31.209401,121.598179,3.290000
31.209363,121.598198,3.820000
31.209336,121.598212,1.550000
31.209300,121.598215,5.030000
31.209250,121.598207,5.020000
31.209203,121.598191,4.710000
31.209146,121.598174,6.930000
